ingredient_id,name_en,name_es,category,diet,allergens,package_price_eur,package_size,package_unit,supermarket,zone,sku,product_name,captured_at,product_url
olives_black,Pitted black olives,Aceitunas negras sin hueso,pantry,vegan,,1.05,0.35,kg,mercadona,mad1,52734,Aceitunas negras sin hueso Hacendado,2026-09-21,https://tienda.mercadona.es/product/52734/aceitunas-negras-hacendado-sin-hueso-bote
chicken_stock,Chicken stock (1 l),Caldo de pollo,pantry,meat,celery,0.75,1.0,l,mercadona,mad1,7313,Caldo de pollo Hacendado,2026-09-21,https://tienda.mercadona.es/product/7313/caldo-pollo-hacendado-brick
mayonnaise,Mayonnaise,Mayonesa,pantry,vegetarian,egg,1.0,0.24,l,mercadona,mad1,52728,Mayonesa Hacendado,2026-09-21,https://tienda.mercadona.es/product/52728/mayonesa-hacendado-tarro
soy_sauce,Soy sauce,Salsa de soja,pantry,vegan,"soy,gluten",1.2,0.25,l,mercadona,mad1,17360,Salsa de Soja Hacendado,2026-09-21,https://tienda.mercadona.es/product/17360/salsa-soja-hacendado-botella
olive_oil,Olive oil (1 l),Aceite de oliva,pantry,vegan,,3.7,1.0,l,mercadona,mad1,4240,"Aceite de oliva 0,4º Hacendado",2026-09-21,https://tienda.mercadona.es/product/4240/aceite-oliva-04o-hacendado-botella
sunflower_oil,Sunflower oil (1 l),Aceite de girasol,pantry,vegan,,1.85,1.0,l,mercadona,mad1,4040,"Aceite de girasol refinado 0,2º Hacendado",2026-09-21,https://tienda.mercadona.es/product/4040/aceite-girasol-refinado-02o-hacendado-botella
vinegar,White wine vinegar,Vinagre de vino blanco,pantry,vegan,sulphites,0.65,1.0,l,mercadona,mad1,4940,Vinagre de vino blanco Hacendado,2026-09-21,https://tienda.mercadona.es/product/4940/vinagre-vino-blanco-hacendado-botella
salt,Fine salt,Sal fina,pantry,vegan,,0.4,1.0,kg,mercadona,mad1,19731,Sal fina Hacendado,2026-09-21,https://tienda.mercadona.es/product/19731/sal-fina-hacendado-paquete
sugar,White sugar,Azúcar blanco,pantry,vegan,,0.9,1.0,kg,mercadona,mad1,19897,Azúcar blanco Hacendado,2026-09-21,https://tienda.mercadona.es/product/19897/azucar-blanco-hacendado-paquete
black_pepper,Ground black pepper,Pimienta negra molida,spices,vegan,,1.3,0.07,kg,mercadona,mad1,34171,Pimienta negra molida Hacendado,2026-09-21,https://tienda.mercadona.es/product/34171/pimienta-negra-molida-hacendado-bote
paprika,Sweet paprika,Pimentón dulce,spices,vegan,,1.3,0.075,kg,mercadona,mad1,60573,Pimentón dulce Hacendado,2026-09-21,https://tienda.mercadona.es/product/60573/pimenton-dulce-hacendado-bote
oregano,Oregano,Orégano,spices,vegan,,1.0,0.025,kg,mercadona,mad1,5598,Orégano Hacendado,2026-09-21,https://tienda.mercadona.es/product/5598/oregano-hacendado-bote
cumin,Ground cumin,Comino molido,spices,vegan,,1.15,0.058,kg,mercadona,mad1,34120,Comino molido Hacendado,2026-09-21,https://tienda.mercadona.es/product/34120/comino-molido-hacendado-bote
curry,Curry powder,Curry,spices,vegan,mustard,1.1,0.057,kg,mercadona,mad1,34125,Curry Hacendado,2026-09-21,https://tienda.mercadona.es/product/34125/curry-hacendado-bote
garlic,Garlic (bulbs),Ajos,vegetables,vegan,,1.85,0.25,kg,mercadona,mad1,69297,Ajos morados,2026-09-21,https://tienda.mercadona.es/product/69297/ajos-morados-malla
garlic_frozen,Chopped garlic (frozen),Ajo troceado congelado,vegetables,vegan,,0.95,0.15,kg,mercadona,mad1,61251,Ajo troceado Hacendado ultracongelado,2026-09-21,https://tienda.mercadona.es/product/61251/ajo-troceado-hacendado-ultracongelado-paquete
onions,Onions (1 kg bag),Cebollas,vegetables,vegan,,1.7,1.0,kg,mercadona,mad1,69089,Cebollas,2026-09-21,https://tienda.mercadona.es/product/69089/cebollas-malla
onion_frozen,Chopped onion (frozen),Cebolla troceada congelada,vegetables,vegan,,0.95,0.45,kg,mercadona,mad1,13568,Cebolla troceada Hacendado ultracongelada,2026-09-21,https://tienda.mercadona.es/product/13568/cebolla-troceada-hacendado-ultracongelada-paquete
potato,Potato (one piece),Patata,vegetables,vegan,,0.49,0.26,kg,mercadona,mad1,69066,Patata,2026-09-21,https://tienda.mercadona.es/product/69066/patata-pieza
carrots,Carrots (500 g bag),Zanahorias,vegetables,vegan,,0.8,0.5,kg,mercadona,mad1,69669,Zanahorias,2026-09-21,https://tienda.mercadona.es/product/69669/zanahorias-paquete
